Alue,Vuosi,Kesämökkejä (lkm)
Kemiönsaari,2015,4730
Kemiönsaari,2020,4889
Kemiönsaari,2021,4913
Kemiönsaari,2022,4941
Kempele,1970,37
Kempele,1980,55
Kempele,1990,47
Kempele,1995,53
Kempele,2000,48
Kempele,2005,37
Kempele,2010,34
Kempele,2015,32
Kempele,2020,28
Kempele,2021,28
Kempele,2022,28
Kerava,1970,102
Kerava,1980,36
Kerava,1990,41
Kerava,1995,39
Kerava,2000,28
Kerava,2005,24
Kerava,2010,25
Kerava,2015,24
Kerava,2020,10
Kerava,2021,11
Kerava,2022,12
Keuruu,1970,719
Keuruu,1980,1008
Keuruu,1990,1321
Keuruu,1995,1451
Keuruu,2000,1582
Keuruu,2005,1827
Keuruu,2010,1912
Keuruu,2015,1942
Keuruu,2020,1944
Keuruu,2021,1956
Keuruu,2022,1963
Kihniö,1970,246
Kihniö,1980,424
Kihniö,1990,661
Kihniö,1995,735
Kihniö,2000,742
Kihniö,2005,788
Kihniö,2010,872
Kihniö,2015,899
Kihniö,2020,907
Kihniö,2021,909
Kihniö,2022,908
Kinnula,1970,59
Kinnula,1980,171
Kinnula,1990,226
Kinnula,1995,350
Kinnula,2000,391
Kinnula,2005,415
Kinnula,2010,443
Kinnula,2015,459
Kinnula,2020,452
Kinnula,2021,447
Kinnula,2022,448
Kirkkonummi,1970,2105
Kirkkonummi,1980,2161
Kirkkonummi,1990,2356
Kirkkonummi,1995,2433
Kirkkonummi,2000,2474
Kirkkonummi,2005,2429
Kirkkonummi,2010,2450
Kirkkonummi,2015,2462
Kirkkonummi,2020,2464
Kirkkonummi,2021,2473
Kirkkonummi,2022,2478
Kitee,1970,624
Kitee,1980,1332
Kitee,1990,2221
Kitee,1995,2618
Kitee,2000,2751
Kitee,2005,2896
Kitee,2010,2992
Kitee,2015,2978
Kitee,2020,2864
Kitee,2021,2862
Kitee,2022,2865
Kittilä,1970,78
Kittilä,1980,238
Kittilä,1990,985
Kittilä,1995,1495
Kittilä,2000,1784
Kittilä,2005,2573
Kittilä,2010,2775
Kittilä,2015,3095
Kittilä,2020,3991
Kittilä,2021,4066
Kittilä,2022,4165
